objectid_1,objectid,name,folderpath,symbolid,altmode,base,clamped,extruded,snippet,popupinfo,shape_leng,name_1,name_of_gr,permit_dat,area_offic,net_planta,planted_as,concession,source_of,additional,shape_le_1,globalid,shape_Length,shape_Area
11,11,Jayamax SB - Part 1,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",3,0,0,-1,0, , ,0.39103296,Jayamax SB - Part 1,Rimbunan Hijau,1905-06-21T00:00:00.000Z,4959, , ,Oil palm,"Sarawak Forest Department maps, 2010",Owned by RH Subsidiary Rimbunan Sawit SB,0.39103296,{DC61A658-99C6-42D0-8470-B1333D776C2E},43570.2859223976,50976477.2084261
12,12,Timrest SB - Part 1,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.40545496,Timrest SB - Part 1,Rimbunan Hijau,,7491, , ,Oil palm,"Sarawak Forest Department maps, 2010",Owned by RH Subsidiary Rimbunan Sawit SB,0.40545496,{6BF9D6CE-1B21-4C19-8051-5EB5D69E0E28},45177.3039135132,53984652.472732
13,13,Timrest SB - Part 2,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",2,0,0,-1,0, , ,0.23204514,Timrest SB - Part 2,Rimbunan Hijau,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010",Owned by RH Subsidiary Rimbunan Sawit SB,0.23204514,{F70AC2C5-D7BA-4CA4-8619-A5BF34DA938D},25867.9367366656,21656208.2020035
14,14,Timrest SB - Part 3,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.20409987,Timrest SB - Part 3,Rimbunan Hijau,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010",Owned by RH Subsidiary Rimbunan Sawit SB,0.20409987,{BC69274B-DBBC-405F-96BE-5F1427B7F589},22737.5282450938,17615856.3405784
15,15,PJP PELITA Selangau,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.50864855,PJP PELITA Selangau,Rimbunan Hijau,1905-06-23T00:00:00.000Z,5000, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",60%-owned by RH Subsidiary Rimbunan Sawit SB,0.50864855,{42F27C67-D4AC-458B-97ED-4AB0BFBA1459},56643.8968199099,63062697.5949442
16,16,Nescaya Palma,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.2440505,Nescaya Palma,Rimbunan Hijau,1905-06-22T00:00:00.000Z,4100, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",Owned by RH Subsidiary Rimbunan Sawit SB,0.2440505,{A862916E-9713-4691-9A67-9A41979002AF},27182.0898122903,37865344.7727087
17,17,OT/9124 Pelita Holdings SB - PJP Pelita Ulu Teru OPP,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit/OT",2,0,0,-1,0, , ,0.49757101,OT/9124 Pelita Holdings SB - PJP Pelita Ulu Teru OPP,Rimbunan Hijau,1905-06-25T00:00:00.000Z,7900, , ,Oil palm,"Sarawak Forest Department maps, 2010",60%-owned by RH Subsidiary Rimbunan Sawit SB,0.49757101,{E7000374-28C9-461F-AA11-71071E0CF95D},55446.2814919319,82627182.9045318
18,18,Baram Trading SB (Tabib & Temala OPE),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.23357546,Baram Trading SB (Tabib & Temala OPE),Rimbunan Hijau,1905-06-10T00:00:00.000Z,3987, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",85%-owned by RH subsidiary Rimbunan Sawit SB,0.23357546,{7BFED0A2-69EC-403C-BB8F-244359B7D360},26028.1868295826,30787372.6543153
19,19,Novel Pac Puncak Dana,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Rimbunan Sawit",1,0,0,-1,0, , ,0.40009756,Novel Pac Puncak Dana,Rimbunan Hijau,1905-06-21T00:00:00.000Z,4625, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",Owned by RH Subsidiary Rimbunan Sawit SB,0.40009756,{2E470C91-7B83-416C-A253-8C88A993F6AA},44557.787096111,71981948.8963825
20,20,POH ZHEN,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Jaya Tiasa",1,0,0,-1,0, , ,0.2645284,POH ZHEN,Rimbunan Hijau,,5000, ,35,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment","Controlled by RH subsidiary Jaya Tiasa. Planting began 2009, expected completion 2013",0.2645284,{4E4FDB8C-6002-4ACC-A593-C01384DD5C76},29466.6339889642,48608701.1279164
21,21,HARIYAMA (Majestic Vest SB),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Jaya Tiasa",1,0,0,-1,0, , ,0.45498574,HARIYAMA (Majestic Vest SB),Rimbunan Hijau,,10600, ,9645,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",Controlled by RH subsidiary Jaya Tiasa. Planted 2003-2007,0.45498574,{5C1119EC-8E0F-4199-B346-06BD3B641CB7},50677.5652531481,102738280.511809
22,22,Eastern EDEN,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Jaya Tiasa",1,0,0,-1,0, , ,0.39502526,Eastern EDEN,Rimbunan Hijau,,10000, ,6310,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment","Controlled by RH subsidiary Jaya Tiasa. Planting began 2006, expected completion 2013",0.39502526,{529AC7D7-4679-4FB3-ADAC-7555996FB028},44005.259729944,89426040.6338958
23,23,Wealthhouses,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Jaya Tiasa",1,0,0,-1,0, , ,0.32729546,Wealthhouses,Rimbunan Hijau,,6000, ,5757,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",Controlled by RH subsidiary Jaya Tiasa. Planted 2004-2007,0.32729546,{FF3CC66F-E57D-49EA-A72B-7DB8C79CA264},36452.9882539688,58512475.6829147
24,24,Semilijau OP Plantation (Jaya Tiasa),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Jaya Tiasa",4,0,0,-1,0, , ,0.28999249,Semilijau OP Plantation (Jaya Tiasa),Rimbunan Hijau,,5003, ,4866,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment",Controlled by RH subsidiary Jaya Tiasa. Planted 2002-2005,0.28999249,{2879B8EF-26FD-418C-94C1-A41D8FD700C8},32318.2929991119,57221656.718652
25,25,Palmlyn,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/RH/RH OP boundaries/Subur Tiasa",1,0,0,-1,0, , ,0.29480731,Palmlyn,Rimbunan Hijau,1905-06-26T00:00:00.000Z,5000, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.29480731,{4F96347B-9227-4BD6-A7FC-B0EAC642226F},32833.0928039047,43377769.5211716
26,26,Tajang Laing OPP,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/WTK/WTK Group OP (not in listed entity)",3,0,0,-1,0, , ,0.12436329,Tajang Laing OPP,WTK,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.12436329,{75ECB819-171A-4402-8535-C9588E92A549},13854.2925115992,10745155.140456
27,27,Suajaya Mahir,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/WTK/WTK Group OP (not in listed entity)",1,0,0,-1,0, , ,0.31563672,Suajaya Mahir,WTK,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.31563672,{7C249B54-4666-4762-A0BF-00C5F9EC4DAA},35160.1345384844,68222322.7995846
28,28,Southwind,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/WTK/WTK Group OP (not in listed entity)",1,0,0,-1,0, , ,0.25750203,Southwind,WTK,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.25750203,{2C0E556B-5CB2-41C3-8D31-7E20CB836005},28706.7822400488,40024450.5997392
29,29,Imbok Enterprise,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/WTK/WTK Group OP (not in listed entity)",1,0,0,-1,0, , ,0.6166247,Imbok Enterprise,WTK,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.6166247,{E2BFC365-224E-4D90-AF5D-5E2F57D97355},68706.9611244442,117331161.505095
30,30,Shin Yang OPP,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",3,0,0,-1,0, , ,0.55082974,Shin Yang OPP,Shin Yang,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.55082974,{7E6FCE94-4FF3-410A-AD5B-56EB936E9BFB},61356.6057417142,100493235.25542
31,31,Jati Vista,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",1,0,0,-1,0, , ,0.36049671,Jati Vista,Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.36049671,{6FD06D26-F8A7-4737-B290-6B072D0DD2D6},40153.3857680468,40957479.9081993
32,32,OT/4377 Danum Jaya SB (Danum Sinar OPP),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm/OT",3,0,0,-1,0, , ,1.72832415,OT/4377 Danum Jaya SB (Danum Sinar OPP),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,1.72832415,{5F539F9F-46B2-441C-AD39-9CF04332BA49},192490.530209209,433107983.301178
33,33,"Metalon OP Estate (SY) (Linau SInar SB, Lot 2, Danum LD)","All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",2,0,0,-1,0, , ,0.47887308,"Metalon OP Estate (SY) (Linau SInar SB, Lot 2, Danum LD)",Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.47887308,{04EEEC85-9F41-4AE9-85AC-127DE9105E7F},53329.3288370164,69810268.2496764
34,34,Keneban OP Estate (SY) (Selangau Plantation SB Lot 1 Murum LD),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",2,0,0,-1,0, , ,0.46053369,Keneban OP Estate (SY) (Selangau Plantation SB Lot 1 Murum LD),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.46053369,{BD861E2A-C5B9-46BF-951B-6047594E015E},51290.1550293911,51170550.3571155
35,35,"Dataran Seping Adam OP Estate (Lot 3, Blk 14, Danum LD) (SY)","All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",2,0,0,-1,0, , ,1.14596013,"Dataran Seping Adam OP Estate (Lot 3, Blk 14, Danum LD) (SY)",Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,1.14596013,{B153F0F0-290C-442E-8149-34B05864A636},127600.49895606,121001123.520139
36,36,Dataran Linau OP (SY) (Lot 1 Block 14 Murum LD),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm",3,0,0,-1,0, , ,0.79068124,Dataran Linau OP (SY) (Lot 1 Block 14 Murum LD),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.79068124,{53BF2FEA-F9F7-4E0F-84B4-6FE9516413A5},88037.5521473692,112849624.486948
37,37,Danum Sinar OP SB (Block B&D),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm/Danum Sinar OP SB",2,0,0,-1,0, , ,0.37651744,Danum Sinar OP SB (Block B&D),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.37651744,{A45D519A-A665-4984-9C6B-A08C57B5F68C},41939.4070450243,29178182.1732923
38,38,Danum Sinar OP SB (Block C),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm/Danum Sinar OP SB",2,0,0,-1,0, , ,0.2322599,Danum Sinar OP SB (Block C),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.2322599,{50F44143-ED2F-482C-A73B-DEFB65755AE1},25868.1286551579,19307298.557886
39,39,Danum Sinar OP SB (Block A),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm/Danum Sinar OP SB",2,0,0,-1,0, , ,0.19912373,Danum Sinar OP SB (Block A),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.19912373,{A6CD7CAE-DDE3-4801-9034-859CD97D862C},22181.9305381334,19051075.7037392
40,40,OT/9142 Shin Yang Oil Palm (Niah) SB (SOP Tinbarap),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Shin Yang/Shin Yang oil palm/OT",6,0,0,-1,0, , ,0.64783854,OT/9142 Shin Yang Oil Palm (Niah) SB (SOP Tinbarap),Shin Yang,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.64783854,{0C15090A-7325-4BD8-90F1-F2507F5BF324},72234.7347463349,158776324.896705
41,41,Untitled Polygon (Zumida - Ta Ann?),"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Ta Ann/Oil Palm",7,0,0,-1,0, , ,0.14000675,Untitled Polygon (Zumida - Ta Ann?),Ta Ann,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.14000675,{9C932F47-DC3A-47BB-9978-64CBD9C1B243},15591.9107622108,11245447.4758169
42,42,TA ANN (?) - Fame Majestic SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Ta Ann/Oil Palm",1,0,0,-1,0, , ,0.41349258,TA ANN (?) - Fame Majestic SB,Ta Ann,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.41349258,{971AAAB6-B449-432F-B63C-C9F4E144FE43},46053.1122426719,78516808.2705069
43,43,Multi Maximum -Daro,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Ta Ann/Oil Palm",1,0,0,-1,0, , ,0.25459865,Multi Maximum -Daro,Ta Ann,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.25459865,{F0AA39BB-089C-4AD4-B1AC-901BE560A917},28358.4984213419,39595537.5648953
44,44,Bintulu Lumber Development,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/KTS/KTS OP",1,0,0,-1,0, , ,0.38045626,Bintulu Lumber Development,KTS,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.38045626,{DDF0DADA-6CE6-4C83-B18B-B637811AC337},42392.746664461,65746943.9423022
45,45,Gayanis,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/KTS/KTS OP",1,0,0,-1,0, , ,0.6097624,Gayanis,KTS,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.6097624,{BFA1426B-9602-4C36-B0D2-B5EDB7D5182A},67939.3618215658,122709706.091384
46,46,Wawasan Sedar Sdn Bhd,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/KTS/KTS OP",1,0,0,-1,0, , ,1.04547241,Wawasan Sedar Sdn Bhd,KTS,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,1.04547241,{D86497CB-CA07-4026-8C75-C93E03D8F232},116485.260442484,190230323.381161
47,47,KTS,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/KTS/KTS OP",1,0,0,-1,0, , ,0.85647053,KTS,KTS,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.85647053,{820D1026-9EFE-44B6-908D-5A74C1DB3AA9},95440.5109045219,228259958.68385
48,48,KTS Agriculture Development SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/KTS/KTS OP",1,0,0,-1,0, , ,0.29049743,KTS Agriculture Development SB,KTS,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.29049743,{360C54E1-4E9D-44E5-ABE9-1A5AA62046A4},32349.8334670333,64402895.0013921
49,49,Limba Jaya-Limbang,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Lee Ling/Lee Ling oil palm",1,0,0,-1,0, , ,0.53985003,Limba Jaya-Limbang,Lee Ling,,0, , ,Oil palm,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", ,0.53985003,{27162AA3-87A2-43BD-956D-2D8EB2B421FD},60191.8783910819,99114855.8330175
50,50,OT/9135 Hazelland SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Other/Other OP concessions/From SFD Map May 2010/Occupational Ticket areas/OT",2,0,0,-1,0, , ,0.39006385,OT/9135 Hazelland SB,Other / Unknown,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.39006385,{0FB613DB-792F-4770-B5CE-5410D402F212},43494.9733221201,57319192.1339407
51,51,OT/9134 Merak Murni SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Other/Other OP concessions/From SFD Map May 2010/Occupational Ticket areas/OT",2,0,0,-1,0, , ,0.2736209,OT/9134 Merak Murni SB,Other / Unknown,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.2736209,{1D6DF470-7C43-4F93-9684-96DF40B58E54},30518.8614204448,42476319.1560225
52,52,OT/9109 Linau Mewah SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Other/Other OP concessions/From SFD Map May 2010/Occupational Ticket areas/OT",2,0,0,-1,0, , ,0.41316865,OT/9109 Linau Mewah SB,Other / Unknown,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.41316865,{40373F41-8637-45C7-8D36-BBAA1FE84472},46089.5267177676,21011572.21834
53,53,OT/0351 Empresa (M) SB,"All Sarawak Timber, LPF & OP Licence Boundaries - REVISED for WRI.kmz/All Sarawak Timber, LPF & OP Licence Boundaries/Other/Other OP concessions/From SFD Map May 2010/Occupational Ticket areas/OT",2,0,0,-1,0, , ,0.44102933,OT/0351 Empresa (M) SB,Other / Unknown,,0, , ,Oil palm,"Sarawak Forest Department maps, 2010", ,0.44102933,{C0079A6F-56BA-4BBC-BF3C-BCC4B650E3B8},49157.2105408234,58215286.1204556
